scenario,size,seed,policy,budget,retained_count,retained_ratio,exact_recall_at_1,exact_recall_at_5,recall_at_1,recall_at_5,mrr,exact_mrr,target_fact_retained,superseded_fact_at_1,index_bytes,selection_seconds,index_build_seconds,retrieved_tokens,dedup_representatives,samples,query_p50_ms,query_p95_ms,search_p50_ms,search_p95_ms,retrieval_p50_ms,retrieval_p95_ms
old,10000,22,importance,0.25,2500,0.25,0.19444444444444445,0.3888888888888889,0.3055555555555556,0.3888888888888889,0.34375,0.28356481481481477,0.3888888888888889,0.06944444444444445,23040045,0.005291997999847808,0.03749276899998222,66.44444444444444,,360,34.6849595000549,37.17531830029657,0.19024949983759143,0.213851550029176,34.885021500031144,37.36475979981151
old,10000,22,semantic_dedup,0.5,5000,0.5,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.5972222222222222,46080045,0.22047205300032147,0.0750933399999667,66.65277777777777,310,360,34.6849595000549,37.17531830029657,0.6636714999785909,0.8117770501030463,35.37989349979398,37.9033656002548
old,10000,22,importance,0.5,5000,0.5,0.3055555555555556,0.5555555555555556,0.4722222222222222,0.5555555555555556,0.5097222222222223,0.4217592592592593,0.5555555555555556,0.06944444444444445,46080045,0.0054219200001170975,0.07336044200019387,65.76388888888889,,360,34.6849595000549,37.17531830029657,0.6475509999290807,0.8342284000491418,35.37190899987763,37.863105849783096
old,10000,22,semantic_dedup,0.25,2500,0.25,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.625,23040045,0.22053981899989594,0.03869989800023177,66.59722222222223,310,360,34.6849595000549,37.17531830029657,0.19513300003382028,0.2350900499322961,34.89186450019588,37.394699049741575
balanced,100,22,semantic_dedup,0.25,25,0.25,0.20833333333333334,0.2222222222222222,0.3194444444444444,0.4444444444444444,0.3819444444444444,0.2152777777777778,0.4444444444444444,0.125,230445,0.0009164059997601726,0.0023467510000045877,61.05555555555556,62,360,34.6849595000549,37.17531830029657,0.004067000190843828,0.004558000000542961,34.689318000118874,37.179131850166414
balanced,100,22,importance,0.75,75,0.75,0.4583333333333333,0.8333333333333334,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.6388888888888888,0.8333333333333334,0.1111111111111111,691245,2.5026000002981164e-05,0.002819822000219574,61.125,,360,34.6849595000549,37.17531830029657,0.008115000127872918,0.008949999960350397,34.693335499923705,37.18307035012458
balanced,100,22,semantic_dedup,0.75,75,0.75,0.4444444444444444,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.7222222222222222,0.5532407407407407,0.8333333333333334,0.375,691245,0.0009042339997904492,0.003212954999980866,60.833333333333336,62,360,34.6849595000549,37.17531830029657,0.008215999969252152,0.008847499680086912,34.69301450013518,37.18336530027955
balanced,100,22,recency,0.25,25,0.25,0.2916666666666667,0.3888888888888889,0.2916666666666667,0.3888888888888889,0.3402777777777778,0.3402777777777778,0.3888888888888889,0.09722222222222222,230445,2.158999996026978e-05,0.00263483799972164,59.958333333333336,,360,34.6849595000549,37.17531830029657,0.003977000233135186,0.004417999662109651,34.68905199997607,37.17910030036364
balanced,100,22,recency,0.5,50,0.5,0.3611111111111111,0.5555555555555556,0.4305555555555556,0.6111111111111112,0.5208333333333334,0.45601851851851843,0.6111111111111112,0.18055555555555555,460845,1.8414000351185678e-05,0.0024154390002877335,61.208333333333336,,360,34.6849595000549,37.17531830029657,0.0059809999584103934,0.00648350010123977,34.690865000129634,37.181025350150776
balanced,100,22,importance,0.5,50,0.5,0.375,0.5555555555555556,0.4861111111111111,0.5555555555555556,0.5208333333333334,0.46064814814814814,0.5555555555555556,0.06944444444444445,460845,2.0949000372638693e-05,0.0027612529997895763,60.93055555555556,,360,34.6849595000549,37.17531830029657,0.005881000106455758,0.00628099996902165,34.69078500006617,37.1810343500556
balanced,100,22,full,1.0,100,1.0,0.4305555555555556,1.0,0.75,1.0,0.875,0.6898148148148148,1.0,0.25,921645,1.3429998944047838e-06,0.0032391730001108954,60.875,,360,34.6849595000549,37.17531830029657,0.011492000112411915,0.012171999969723402,34.69660099995053,37.1869897504439
balanced,100,22,importance,0.25,25,0.25,0.19444444444444445,0.3333333333333333,0.2916666666666667,0.3333333333333333,0.3125,0.26157407407407407,0.3333333333333333,0.041666666666666664,230445,2.6389000140625285e-05,0.0027875219998350076,58.52777777777778,,360,34.6849595000549,37.17531830029657,0.003937000201403862,0.004298500016375328,34.68902199983859,37.1791752504123
balanced,100,22,recency,0.75,75,0.75,0.5833333333333334,0.8333333333333334,0.5972222222222222,0.8333333333333334,0.7152777777777778,0.7060185185185185,0.8333333333333334,0.2361111111111111,691245,2.3413000235450454e-05,0.002575306999915483,60.958333333333336,,360,34.6849595000549,37.17531830029657,0.007995000032678945,0.008646499964015675,34.692779500119286,37.18296985059624
balanced,100,22,semantic_dedup,0.5,50,0.5,0.3194444444444444,0.3888888888888889,0.5138888888888888,0.7222222222222222,0.6180555555555556,0.3541666666666667,0.7222222222222222,0.3194444444444444,460845,0.0009038729995154426,0.002859776999684982,60.916666666666664,62,360,34.6849595000549,37.17531830029657,0.005960999715171056,0.00643199975911557,34.69096050002918,37.181012300357
balanced,500,22,semantic_dedup,0.5,250,0.5,0.3472222222222222,0.5,0.4583333333333333,0.6111111111111112,0.5324074074074074,0.4212962962962963,0.6111111111111112,0.4861111111111111,2304045,0.004059502000018256,0.005196039000111341,64.77777777777777,98,360,34.6849595000549,37.17531830029657,0.026529000024311244,0.02863594961581839,34.710988000142606,37.20228625068103
balanced,500,22,importance,0.5,250,0.5,0.3055555555555556,0.5555555555555556,0.4722222222222222,0.5555555555555556,0.5138888888888888,0.4259259259259259,0.5555555555555556,0.06944444444444445,2304045,0.00019172799966327148,0.00510539000015342,64.97222222222223,,360,34.6849595000549,37.17531830029657,0.028192500167278922,0.03146805008782394,34.71277599987843,37.203126400254405
balanced,500,22,recency,0.5,250,0.5,0.375,0.5555555555555556,0.4027777777777778,0.5555555555555556,0.4791666666666667,0.4652777777777778,0.5555555555555556,0.1527777777777778,2304045,0.00018655800022315816,0.005110950000016601,65.58333333333333,,360,34.6849595000549,37.17531830029657,0.024260499912998057,0.025026000002981164,34.7090245002164,37.19994130008217
balanced,500,22,semantic_dedup,0.75,375,0.75,0.5277777777777778,0.7777777777777778,0.5972222222222222,0.8333333333333334,0.712962962962963,0.6481481481481483,0.8333333333333334,0.3333333333333333,3456045,0.004062969000187877,0.006758569999874453,63.97222222222222,98,360,34.6849595000549,37.17531830029657,0.03695899977174122,0.03896804971645907,34.72313599991139,37.21484905020134
balanced,500,22,full,1.0,500,1.0,0.4166666666666667,1.0,0.7361111111111112,1.0,0.8645833333333334,0.6793981481481481,1.0,0.25,4608045,1.8444000033923658e-05,0.00794252499963477,63.5,,360,34.6849595000549,37.17531830029657,0.04196300005787634,0.04720100016584183,34.73240800030908,37.217130750423166
balanced,500,22,importance,0.25,125,0.25,0.19444444444444445,0.3888888888888889,0.3055555555555556,0.3888888888888889,0.3472222222222222,0.287037037037037,0.3888888888888889,0.06944444444444445,1152045,0.00018187900013799663,0.004003416999694309,65.11111111111111,,360,34.6849595000549,37.17531830029657,0.014086000192037318,0.014950499735277845,34.69870050025747,37.189441700093084
balanced,500,22,semantic_dedup,0.25,125,0.25,0.2222222222222222,0.2222222222222222,0.375,0.3888888888888889,0.3819444444444444,0.2222222222222222,0.3888888888888889,0.5694444444444444,1152045,0.004060072999891418,0.003735478000180592,64.75,98,360,34.6849595000549,37.17531830029657,0.013465000392898219,0.014105999980529305,34.69840450020456,37.18882070049858
balanced,500,22,importance,0.75,375,0.75,0.3333333333333333,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.6041666666666666,0.4930555555555556,0.6666666666666666,0.1111111111111111,3456045,0.00018978400021296693,0.006384833000083745,65.26388888888889,,360,34.6849595000549,37.17531830029657,0.04038499992020661,0.0426755002763457,34.725400000070294,37.21591280038865
balanced,500,22,recency,0.75,375,0.75,0.5277777777777778,0.7777777777777778,0.5416666666666666,0.7777777777777778,0.6597222222222222,0.6504629629629629,0.7777777777777778,0.2361111111111111,3456045,0.0001843939999162103,0.006604913000046508,64.38888888888889,,360,34.6849595000549,37.17531830029657,0.03238499994040467,0.03707299995312496,34.71901299985802,37.20744489999106
balanced,500,22,recency,0.25,125,0.25,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.19444444444444445,0.19444444444444445,0.2222222222222222,0.05555555555555555,1152045,0.0001866470001914422,0.003915965000032884,66.90277777777777,,360,34.6849595000549,37.17531830029657,0.013154499811207643,0.013895999950364057,34.69807900023625,37.1883148003235
balanced,1000,22,semantic_dedup,0.25,250,0.25,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.25,0.19444444444444445,0.2777777777777778,0.6388888888888888,2304045,0.010648536000189779,0.005118454000239581,65.54166666666667,121,360,34.6849595000549,37.17531830029657,0.026789499997903476,0.027641049632620707,34.71158400020613,37.201805950371636
balanced,1000,22,recency,0.25,250,0.25,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.19444444444444445,0.19444444444444445,0.2222222222222222,0.05555555555555555,2304045,0.0004679919998125115,0.005088058000183082,67.09722222222223,,360,34.6849595000549,37.17531830029657,0.02752100022007653,0.02986900019550376,34.715551500084985,37.202667800261224
balanced,1000,22,semantic_dedup,0.75,750,0.75,0.5277777777777778,0.7777777777777778,0.5416666666666666,0.7777777777777778,0.6574074074074073,0.6481481481481481,0.7777777777777778,0.3333333333333333,6912045,0.01065347500025382,0.011257159000251704,64.09722222222223,121,360,34.6849595000549,37.17531830029657,0.06000149983265146,0.06647499983500893,34.74756650030031,37.24186115023258
balanced,1000,22,semantic_dedup,0.5,500,0.5,0.3472222222222222,0.5,0.4027777777777778,0.5555555555555556,0.4791666666666667,0.4236111111111111,0.5555555555555556,0.4722222222222222,4608045,0.0106526530003066,0.008373126999686065,64.86111111111111,121,360,34.6849595000549,37.17531830029657,0.05074449995845498,0.053403000060825434,34.734921999870494,37.226256800181545
balanced,1000,22,importance,0.25,250,0.25,0.19444444444444445,0.3888888888888889,0.3055555555555556,0.3888888888888889,0.3472222222222222,0.287037037037037,0.3888888888888889,0.06944444444444445,2304045,0.00044537000030686613,0.0051633680000122695,66.27777777777777,,360,34.6849595000549,37.17531830029657,0.026309000077162636,0.028346000158308023,34.71384299996316,37.20166075020188
balanced,1000,22,recency,0.75,750,0.75,0.5277777777777778,0.7777777777777778,0.5416666666666666,0.7777777777777778,0.6597222222222222,0.6504629629629629,0.7777777777777778,0.2222222222222222,6912045,0.0004415029998199316,0.011093134000020655,64.47222222222223,,360,34.6849595000549,37.17531830029657,0.05876900013390696,0.061935499843457364,34.74309800026276,37.234473750527286
balanced,1000,22,full,1.0,1000,1.0,0.4166666666666667,1.0,0.7361111111111112,1.0,0.8611111111111112,0.6775462962962963,1.0,0.25,9216045,3.532600021571852e-05,0.015322131000175432,63.59722222222222,,360,34.6849595000549,37.17531830029657,0.07326700006160536,0.07593505013119285,34.75820600010593,37.24854125046022
balanced,1000,22,importance,0.5,500,0.5,0.3055555555555556,0.5555555555555556,0.4722222222222222,0.5555555555555556,0.5138888888888888,0.4259259259259259,0.5555555555555556,0.06944444444444445,4608045,0.0004868770001849043,0.008574701999805256,65.70833333333333,,360,34.6849595000549,37.17531830029657,0.05167599965716363,0.05508305002877023,34.7368509997068,37.22698130059143
balanced,1000,22,importance,0.75,750,0.75,0.3333333333333333,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.6018518518518517,0.4918981481481482,0.6666666666666666,0.1111111111111111,6912045,0.00042215599978590035,0.011778539999795612,65.33333333333333,,360,34.6849595000549,37.17531830029657,0.059485999827302294,0.06523254985495443,34.750241000210735,37.23400185003811
balanced,1000,22,recency,0.5,500,0.5,0.375,0.5555555555555556,0.4027777777777778,0.5555555555555556,0.4791666666666667,0.4652777777777778,0.5555555555555556,0.1527777777777778,4608045,0.0003905379999196157,0.007841717000246717,65.55555555555556,,360,34.6849595000549,37.17531830029657,0.05077500009065261,0.05256849979105027,34.73519299996042,37.22678780013666
balanced,5000,22,semantic_dedup,0.75,3750,0.75,0.5277777777777778,0.7638888888888888,0.5416666666666666,0.7638888888888888,0.6421296296296296,0.6328703703703703,0.7777777777777778,0.3333333333333333,34560045,0.07536482499926933,0.0564254969999638,64.44444444444444,202,360,34.6849595000549,37.17531830029657,0.4401950000101351,0.5427629999985584,35.143744000151855,37.62570835031056
