scenario,size,policy,budget,seeds,recall_at_1,recall_at_1_std,recall_at_5,recall_at_5_std,mrr,mrr_std,exact_recall_at_1,exact_recall_at_1_std,exact_recall_at_5,exact_recall_at_5_std,exact_mrr,exact_mrr_std,target_fact_retained,target_fact_retained_std,superseded_fact_at_1,superseded_fact_at_1_std,retrieval_p50_ms,retrieval_p50_ms_std,retrieval_p95_ms,retrieval_p95_ms_std,query_p50_ms,query_p50_ms_std,query_p95_ms,query_p95_ms_std,search_p50_ms,search_p50_ms_std,search_p95_ms,search_p95_ms_std,index_bytes,index_bytes_std,retrieved_tokens,retrieved_tokens_std,selection_seconds,selection_seconds_std,index_build_seconds,index_build_seconds_std
balanced,500,full,1.0,3,0.7453703703703703,0.013094570021973057,1.0,0.0,0.8680555555555555,0.00574832732474973,0.4166666666666667,0.011340230290662867,1.0,0.0,0.6780092592592593,0.005940856961395109,1.0,0.0,0.24074074074074073,0.013094570021973107,34.70230166688756,0.023028594733393783,37.06605138343093,0.13529723155359363,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.04173766668221409,0.00016090909784999272,0.04581551678863131,0.000992970664396858,4608045.0,0.0,63.46296296296296,0.04293341896062846,1.0613000237450857e-05,6.235599414774406e-06,0.008140400333256062,0.0001624287806351521
balanced,500,importance,0.25,3,0.20833333333333334,0.07081971546656647,0.3148148148148148,0.06928995160692485,0.26080246913580246,0.06818124084683494,0.11574074074074074,0.055940027655530425,0.3148148148148148,0.06928995160692485,0.20408950617283947,0.06176937297264167,0.3148148148148148,0.06928995160692485,0.10185185185185186,0.03645374015746209,34.67209883350127,0.020659145050454082,37.03801221650641,0.13556896516588537,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.013501666823382644,0.0004256047211739602,0.014256683281625252,0.0005297334290892771,1152045.0,0.0,65.53703703703702,0.544488534369969,0.0001551926669283906,3.44914023191661e-05,0.0039020383333081554,7.922502480869747e-05
balanced,500,importance,0.5,3,0.3796296296296296,0.06644768562225613,0.5185185185185185,0.026189140043946214,0.44675925925925924,0.04792654368293065,0.25,0.039283710065919325,0.5185185185185185,0.026189140043946214,0.36921296296296297,0.04017165315199109,0.5185185185185185,0.026189140043946214,0.13425925925925927,0.047213143644377634,34.68431483330884,0.021466831394581297,37.05017726662542,0.13703504459390173,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.02554933333461425,0.0021697270290086867,0.027309000120112614,0.00310317908213876,2304045.0,0.0,65.43981481481482,0.36436096981390603,0.00018670133325334368,1.668276365845838e-05,0.005043421333236135,5.228919441832839e-05
balanced,500,importance,0.75,3,0.5555555555555555,0.01964185503295969,0.7407407407407408,0.06928995160692487,0.6454475308641975,0.04376095351373221,0.3194444444444445,0.030003429159295637,0.7407407407407408,0.06928995160692487,0.5109567901234567,0.03789813671137645,0.7407407407407408,0.06928995160692487,0.1759259259259259,0.051135930635126205,34.69308416674721,0.024775048953697223,37.05952224999388,0.13784145191879013,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.03482666663027582,0.004031558974887061,0.037790500088400826,0.003544399288905857,3456045.0,0.0,64.79629629629629,0.4041854923280971,0.0001883343335672786,1.311183290156185e-05,0.006671126333458233,0.000251305552972113
balanced,500,recency,0.25,3,0.14814814814814814,0.026189140043946204,0.2037037037037037,0.026189140043946204,0.17592592592592593,0.026189140043946204,0.14814814814814814,0.026189140043946204,0.2037037037037037,0.026189140043946204,0.17592592592592593,0.026189140043946204,0.2037037037037037,0.026189140043946204,0.05092592592592592,0.006547285010986551,34.67150899996341,0.020895551113025736,37.037334783265884,0.1354600344010502,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.012898833195625533,0.00018489694430892146,0.013643816563065533,0.00022661638330707316,1152045.0,0.0,66.43518518518518,0.4246660109432797,0.00019335999998778183,4.7535730440777286e-06,0.0038863456667665255,6.525002817428474e-05
balanced,500,recency,0.5,3,0.39814814814814814,0.01732248790173122,0.5370370370370371,0.026189140043946214,0.466820987654321,0.020819039449432176,0.3703703703703704,0.006547285010986554,0.5370370370370371,0.026189140043946214,0.4529320987654321,0.011548325267820814,0.5370370370370371,0.026189140043946214,0.13425925925925927,0.013094570021973107,34.681441166867444,0.021518924433843734,37.04770994991122,0.13588072870646947,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.02306150001156008,0.0009578853357423202,0.02424869990136358,0.0005508338009076009,2304045.0,0.0,65.62962962962963,0.11803285911094791,0.00018010566676214998,1.7394949172329713e-05,0.005175453999981983,0.00014033098010494163
balanced,500,recency,0.75,3,0.5555555555555555,0.030003429159295644,0.7777777777777778,0.0,0.664351851851852,0.015470630907224798,0.5231481481481483,0.03982557994001216,0.7777777777777778,0.0,0.6458333333333334,0.019181794590518542,0.7777777777777778,0.0,0.21296296296296294,0.03273642505493276,34.690616999948055,0.021797420637992056,37.05598696664462,0.1359551792864601,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.03159550002843995,0.0006956056568109527,0.03737446659215495,0.0020793051210359686,3456045.0,0.0,64.40277777777779,0.040887781788551986,0.00019400466665805047,3.325867876674728e-05,0.006596457666849649,4.428398568496233e-05
balanced,500,semantic_dedup,0.25,3,0.33796296296296297,0.07290748031492418,0.38888888888888884,0.045360921162651446,0.3634259259259259,0.0581935420832247,0.24999999999999997,0.08177556357710969,0.2777777777777778,0.07856742013183862,0.2638888888888889,0.07938161203464003,0.38888888888888884,0.045360921162651446,0.4444444444444444,0.12266334536566452,34.67248450010629,0.02002513563964432,37.03958749996824,0.13567437377496924,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.013793833431918756,0.0005900996920748693,0.015419666571384974,0.0013837032049348796,1152045.0,0.0,64.86111111111113,0.07856742013184084,0.003991858999900917,6.770379460669747e-05,0.0037935799999407513,7.739418872861256e-05
balanced,500,semantic_dedup,0.5,3,0.47685185185185186,0.036453740157462104,0.6296296296296297,0.026189140043946166,0.5516975308641976,0.03231541912248751,0.4166666666666667,0.056701151453314315,0.5555555555555556,0.04536092116265147,0.4845679012345679,0.051978919114504016,0.6296296296296297,0.026189140043946166,0.35648148148148145,0.12125741531211846,34.68265983345494,0.0215281809451874,37.049130083429795,0.1370633857353652,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.02452066670836454,0.0015876779913704944,0.026166966601219126,0.001784928638154911,2304045.0,0.0,64.7962962962963,0.0916619901538148,0.003994083666536123,6.734612907136612e-05,0.005402350000016061,0.00027885476293248367
balanced,500,semantic_dedup,0.75,3,0.6018518518518519,0.0065472850109865805,0.8148148148148149,0.026189140043946214,0.7052469135802469,0.014311139653542816,0.5509259259259259,0.017322487901731198,0.7962962962962963,0.026189140043946214,0.66820987654321,0.017045310211708724,0.8148148148148149,0.026189140043946214,0.27314814814814814,0.045830995076905856,34.69299449996773,0.023423274251454455,37.0591163332468,0.13750497437224507,34.65851833342034,0.020658948938775873,37.02455008325766,0.13517133738619017,0.033806166584327,0.002416609584675306,0.037391216551441175,0.0013675324581623194,3456045.0,0.0,64.06944444444444,0.12779790501705748,0.003993252000024465,6.862982867214491e-05,0.0067147413333259465,0.00010553921108134535
